-1300.0,-5.516701
-1000.0,-5.570367
-700.0,-5.569651
-400.0,-5.543892
-100.0,-5.646214
200.0,-5.602566
500.0,-5.595411
800.0,-5.671974
1100.0,-5.621171
1400.0,-5.620455
1700.0,-5.648361
10100.0,0.551826
10400.0,0.399416
10700.0,-0.03849697
11000.0,-1.86385
11300.0,-3.39726
11600.0,-4.117097
11900.0,-4.443385
12200.0,-4.648031
12500.0,-4.957861
12800.0,-5.075211
13100.0,-5.173955
13400.0,-5.31778
13700.0,-5.459457
14000.0,-5.546039
14300.0,-5.576091
14600.0,-5.67913
14900.0,-5.699165
15200.0,-5.737804
15500.0,-5.812221
15800.0,-5.694871
16100.0,-5.442285
16400.0,-5.367868
16700.0,-5.282718
17000.0,-5.500244
17300.0,-5.665534
17600.0,-5.729218
17900.0,-5.775012
18200.0,-5.781452
18500.0,-5.887353
18800.0,-5.795048
35600.0,236.0981
35900.0,237.0147
36200.0,236.1239
36500.0,239.1692
38300.0,234.989
38600.0,237.067
38900.0,237.1199
39500.0,246.3168
39800.0,246.7018
40100.0,247.6155
40400.0,249.0588
40700.0,250.1264
41000.0,251.4272
41300.0,252.9084
41600.0,254.1849
41900.0,254.7302
42200.0,258.426
42500.0,256.8074
42800.0,256.1834
43100.0,259.3047
43400.0,260.7343
43700.0,261.842
44000.0,263.1707
44300.0,265.7073
44600.0,265.6873
44900.0,266.493
45200.0,265.6186
45500.0,268.5387
45800.0,269.6357
46100.0,273.5755
46400.0,271.7616
46700.0,274.0735
47000.0,275.0531
47300.0,275.1826
47600.0,276.306
47900.0,277.4337
48200.0,278.5399
48500.0,279.4723
48800.0,280.5227
49100.0,281.772
49400.0,282.5734
49700.0,283.5043
50000.0,284.5147
50300.0,285.4714
50600.0,286.6577
50900.0,287.5271
51200.0,288.584
51500.0,289.5271
51800.0,290.4759
52100.0,291.5485
52400.0,292.6039
52700.0,293.7717
53000.0,294.7735
53300.0,295.5284
53600.0,296.5008
53900.0,297.2886
54200.0,298.1515
54500.0,299.1655
54800.0,298.0721
55100.0,300.8119
55400.0,302.1436
55700.0,303.0688
56000.0,304.4454
56300.0,304.932
56600.0,306.1735
56900.0,306.826
57200.0,305.6147
57500.0,308.8375
57800.0,309.5451
58100.0,310.3845
58400.0,311.6181
58700.0,311.8313
59000.0,312.7329
59300.0,313.7461
59600.0,314.8745
59900.0,315.5779
60200.0,316.5131
60500.0,317.5528
60800.0,320.0207
61100.0,321.2464
61400.0,322.5638
61700.0,321.5398
62000.0,321.8196
62600.0,331.9703
63200.0,325.5769
63500.0,326.3268
63800.0,327.184
64100.0,327.6062
64400.0,328.5757
64700.0,329.2841
65000.0,330.1685
65300.0,331.0172
65600.0,331.908
65900.0,332.7051
66200.0,333.6668
66500.0,334.4897
66800.0,335.274
67100.0,336.2471
67400.0,337.0779
67700.0,337.7683
68000.0,338.6513
68300.0,339.4327
68600.0,340.4001
68900.0,341.0463
69200.0,341.9414
69500.0,342.3857
69800.0,343.1743
70100.0,344.0043
70400.0,344.9588
70700.0,345.7538
71000.0,346.5259
71300.0,347.3903
71600.0,348.1086
71900.0,349.0367
72200.0,349.8575
72500.0,350.6531
72800.0,351.5318
73100.0,352.5558
73400.0,353.2262
73700.0,354.0663
74000.0,354.9879
74300.0,355.8737
74600.0,356.7317
74900.0,357.3885
75200.0,358.2436
75500.0,359.1674
75800.0,360.0432
76100.0,360.9634
76400.0,361.8371
76700.0,362.8517
77000.0,363.8614
77300.0,364.7386
77600.0,365.6638
77900.0,366.6491
78200.0,367.6938
78500.0,368.5782
78800.0,369.6022
79100.0,370.722
79400.0,369.4884
79700.0,372.5459
80000.0,373.308
80300.0,374.4865
80600.0,375.5068
80900.0,376.5172
81200.0,377.6513
81500.0,378.5329
81800.0,379.8373
82100.0,381.2942
82400.0,382.3846
82700.0,382.5514
83000.0,383.5316
83300.0,384.5978
83600.0,385.5896
83900.0,386.6314
84200.0,387.8027
84500.0,388.5011
84800.0,389.666
85100.0,390.6778
85400.0,391.915
85700.0,391.1923
86000.0,394.1682
86300.0,395.2702
86600.0,396.2705
86900.0,397.5041
87200.0,398.3513
87500.0,399.4747
87800.0,400.5287
88100.0,401.8761
88400.0,402.7619
88700.0,403.5433
89000.0,404.6102
89300.0,405.8888
89600.0,406.369
89900.0,407.9925
90200.0,409.2283
90500.0,409.2941
90800.0,411.1237
91100.0,412.3717
91400.0,411.5924
91700.0,414.3301
92000.0,415.4428
92300.0,416.5268
92600.0,417.6824
92900.0,418.355
93200.0,419.5479
93500.0,420.6698
93800.0,421.6601
94100.0,422.7735
94400.0,423.6887
94700.0,424.7091
95000.0,425.7688
95300.0,426.6074
95600.0,427.6056
95900.0,428.6918
96200.0,427.4632
96500.0,430.6581
96800.0,431.6169
97100.0,432.5937
97400.0,433.4866
97700.0,434.0004
98000.0,435.1266
98300.0,436.0404
98600.0,436.9577
98900.0,437.8744
99200.0,438.8596
99500.0,439.8063
99800.0,440.6406
100100.0,441.51
100400.0,442.637
100700.0,443.4814
101000.0,444.3372
101300.0,445.3854
101600.0,446.2276
101900.0,447.3031
102200.0,448.234
102500.0,449.3703
102800.0,450.4966
103100.0,451.3853
103400.0,452.3655
103700.0,453.6786
104000.0,454.3898
104300.0,455.5555
104600.0,456.6366
104900.0,457.6176
105200.0,458.5579
105500.0,459.4974
105800.0,460.5807
106100.0,461.4379
106400.0,462.5477
106700.0,463.4615
107000.0,464.3237
107300.0,465.3813
107600.0,466.2686
107900.0,467.0993
108200.0,467.9293
108500.0,468.9991
108800.0,469.9565
